Website link,GooglePlay,GooglePlay ID
FitnessSyncer,link,com.fitnesssyncer.fitnesssyncer_for_samsung_health
MTBC PHR,link,com.phr
Google Fit,link,com.google.android.apps.fitness
Accolade,link,com.accolade.mobile.prod
Medical record,link,vladimir.yerokhin.medicalrecord
MtyMedical,link,com.hyrax.mymedical
GenexEHR,link,com.genexehr.patient
TrackMyMedicalRecords,link,com.freehealthtrack.free.health.track
MedFusionPlus,link,com.medfusion.claire
higi,link,com.higi.main
Sharecare,link,com.sharecare.realgreen
Aetna,link,com.usablenet.android.aetna
Kaiser Permanente,link,org.kp.m